n	k	approx	t_approx	exact	t_exact
94969	45362	0.289813761159695000	4466	0.289813761173159000	439511217
32733	2605	0.040906627824444100	4317	0.040906627905579200	17497252
4564	2731	0.387826143604887000	3657	0.387826150581541000	8623725
37837	9862	0.143413705824353000	4453	0.143413705892819000	27968544
23200	6856	0.164962772371550000	4302	0.164962772558834000	28881350
30774	20256	0.442554924206831000	4554	0.442554924379537000	67225990
50173	24533	0.298394508211026000	4716	0.298394508259965000	98025876
51834	40150	0.566457315907670000	4215	0.566457315991970000	49339545
64749	3017	0.023675906667389000	4052	0.023675906687750600	4177036
30247	28176	0.802930079247475000	3047	0.802930079957834000	72936465
76401	4933	0.033008313702860000	3035	0.033008313717629800	2601350
47820	43672	0.767799800720415000	4757	0.767799800948639000	49057018
54575	2423	0.022543988411547500	2764	0.022543988440174000	2318060
37127	3232	0.044860790060400000	3458	0.044860790123736300	4341979
89749	50385	0.356114757782167000	2596	0.356114757799133000	66928669
9180	7904	0.681490815776242000	3617	0.681490819824538000	8878179
48087	24690	0.317333450627186000	2017	0.317333450682236000	29473706
55459	28428	0.316665512901911000	3787	0.316665512943250000	27650674
13077	8028	0.401513648067775000	3727	0.401513648942303000	8976985
61848	8474	0.071877268576645100	2626	0.071877268600158900	8699632
98232	31156	0.178658387103797000	3779	0.178658387114439000	28786971
86838	42656	0.300105073743748000	11558	0.300105073760134000	56461463
79483	25397	0.180170566330245000	4505	0.180170566346533000	36916302
95645	77105	0.605493633870039000	3311	0.605493633898089000	126115755
45190	39987	0.718744271716506000	3897	0.718744271914082000	50841988
49551	29440	0.384018143934239000	3769	0.384018143993018000	32475990
46421	14172	0.171110190863868000	3119	0.171110190911035000	15572030
26971	2697	0.051771909638747300	1695	0.051771909759663000	2560306
73335	67007	0.768628899654243000	3067	0.768628899751762000	72214443
96433	5255	0.027760953516391100	3533	0.027760953525608900	6099937
58354	48035	0.627819724252824000	3863	0.627819724334247000	53828502
32501	22676	0.481667906968883000	3623	0.481667907138794000	24310179
85060	64369	0.545594607810364000	4322	0.545594607839795000	69957188
80654	72030	0.732340204583540000	4407	0.732340204649841000	104378653
3109	845	0.150375839185873000	2817	0.150375849410254000	828427
10718	1767	0.087422985223689500	2330	0.087422986020591900	1689387
54472	11598	0.114947472735803000	4292	0.114947472767686000	14144474
57419	46127	0.601891288099655000	2065	0.601891288176549000	52820047
65952	24466	0.213948800420749000	3738	0.213948800445556000	23306527
51260	1761	0.017387043006643800	1923	0.017387043038921100	934418
44511	24590	0.348700742172899000	3200	0.348700742240916000	16038728
93632	87101	0.800342579933494000	4567	0.800342580006373000	119671800
76282	71739	0.821371238971139000	3894	0.821371239098504000	99332940
11783	10168	0.684392700371242000	4013	0.684392702859360000	12248589
28904	2017	0.035749829455882600	3364	0.035749829559366200	21079877
94580	70715	0.535282177990279000	5327	0.535282178013396000	130545010
80361	52290	0.435369534924798000	2618	0.435369534949720000	79469479
81290	5091	0.031994941603297300	3455	0.031994941616329800	8089760
29763	29211	0.924665546191364000	3619	0.924665548769862000	43764756
10724	8345	0.570770681924516000	3422	0.570770683919143000	11350850
69224	20547	0.165765402652924000	3328	0.165765402673984000	27708927
96641	68267	0.490634849363834000	3117	0.490634849383490000	79326340
21076	14145	0.455083537498287000	2858	0.455083537877266000	11811980
17212	1252	0.037314417347953400	852	0.037314417640252500	673416
39922	15529	0.226185723632178000	2500	0.226185723701105000	12001368
74681	32280	0.256473684846605000	2257	0.256473684867233000	35259899
80413	29018	0.207181111598011000	2831	0.207181111614536000	31155696
81468	18868	0.125951722967971000	2011	0.125951722982419000	24684907
7172	2117	0.164796736120380000	2604	0.164796738079207000	3094907
73204	52648	0.504107309844033000	6056	0.504107309879496000	80600268
48807	16950	0.198197545033542000	542	0.198197545077830000	18573004
55668	54692	0.927847613794716000	636	0.927847614574252000	58808600
25662	22989	0.737032063750213000	552	0.737032064420665000	35255382
36321	10124	0.154507955994748000	607	0.154507956070119000	7501438
11993	10599	0.716987498995710000	607	0.716987501775668000	10271542
97159	51797	0.332957657248203000	559	0.332957657262071000	48134878
14402	12055	0.646820622719194000	549	0.646820624152140000	12722458
21319	19832	0.800364304967147000	585	0.800364306372223000	21284425
37055	16757	0.270946282684983000	607	0.270946282770721000	18129309
59083	53718	0.760407464475284000	567	0.760407464618642000	59598316
6195	6023	0.897731499666504000	472	0.897731539622944000	17723530
58459	6581	0.058535614306731100	689	0.058535614332662200	11920481
25764	10782	0.246710928764558000	620	0.246710928935262000	11875606
53511	3692	0.035328870252984300	760	0.035328870283165800	4576601
90711	80092	0.715606149853889000	536	0.715606149902204000	89865615
78340	62092	0.588366525131894000	551	0.588366525171416000	64943586
30071	21726	0.507636777173289000	530	0.507636777385381000	22931409
66484	59090	0.725182906602496000	437	0.725182906696670000	101285610
94517	40245	0.251873932282509000	423	0.251873932295295000	45463105
87774	1619	0.009285477649385690	473	0.009285477660306280	1553929
60138	20750	0.196719533649128000	562	0.196719533678238000	26298522
87772	23113	0.145042014742844000	454	0.145042014755594000	21121852
93559	61754	0.444306913659000000	641	0.444306913677762000	59778877
14323	2122	0.078067543087999600	470	0.078067543529484000	2067115
6157	4361	0.492692588832779000	485	0.492692593697045000	5190905
3550	1828	0.318630868286365000	507	0.318630878401744000	1868144
82345	49247	0.387440785488028000	482	0.387440785509460000	64730679
44035	29022	0.443364221656709000	418	0.443364221741218000	33899907
10807	3552	0.186099018621850000	465	0.186099019509886000	4540266
5095	3412	0.453724028196189000	404	0.453724034656279000	3692878
1815	288	0.084179099972939300	202	0.084179127630200700	280270
63965	1761	0.013901248339258800	334	0.013901248359913900	1694180
8477	39	0.002362857599400690	188	0.002362858761564440	37256
42713	674	0.007943406085576640	265	0.007943406131621260	643573
1106	119	0.056289797474607300	226	0.056289869602859200	125780
65859	33294	0.311150347155000000	619	0.311150347184033000	46229464
11896	366	0.015585588346492900	377	0.015585588944629400	346259
49031	28372	0.370671108175926000	520	0.370671108234390000	24541159
78379	39269	0.307643305525134000	616	0.307643305545509000	37651869
9898	1551	0.082846398347509700	484	0.082846399276979700	1546362
54307	5080	0.048310993927476200	442	0.048310993957188400	4883625
4343	1783	0.241220705349821000	491	0.241220711303704000	1729467
93782	76140	0.612898395479572000	507	0.612898395509492000	74761514
57046	48984	0.677967168676921000	394	0.677967168780310000	52256636
32571	5927	0.097084771974149100	572	0.097084772061433800	5666437
18686	1278	0.035030899348054500	387	0.035030899595456800	1209838
76488	66217	0.688572749035995000	1145	0.688572749096148000	71914551
31938	21176	0.447190014539703000	613	0.447190014701758000	32014024
92477	30461	0.186519930230686000	582	0.186519930242823000	34053193
27559	24519	0.726695664683310000	531	0.726695665235325000	26295170
64633	8785	0.071275510919802400	404	0.071275510941318900	8523950
67190	24054	0.205277639974602000	482	0.205277639998207000	17568445
57834	23782	0.241580499679835000	772	0.241580499713448000	20822315
74508	50423	0.460578151062209000	528	0.460578151092932000	53268204
70819	40893	0.369624202935880000	358	0.369624202963848000	340136464
65646	35097	0.334187284694024000	370	0.334187284724469000	29918835
69797	52470	0.539893895962779000	521	0.539893896005783000	47000573
44730	18605	0.244904306226321000	378	0.244904306282800000	31058418
67424	37030	0.346035060679244000	600	0.346035060708740000	38572598
41977	27990	0.450829260112195000	682	0.450829260206801000	39013285
64243	2564	0.020234173383719500	529	0.020234173404328500	2447542
36817	1869	0.025836629623945000	355	0.025836629687063800	1779598
32719	31786	0.895599291674549000	466	0.895599293076885000	33380903
97687	75988	0.570382076577134000	559	0.570382076601156000	79441466
94169	87532	0.798888181304654000	463	0.798888181376008000	93153082
84738	1973	0.011739087512288100	439	0.011739087524034700	1879645
91951	30893	0.190790589983919000	512	0.190790589996268000	32742087
47642	3485	0.037511303119432400	248	0.037511303157593600	1842621
86626	38028	0.261326365282800000	528	0.261326365298250000	39188746
6798	2265	0.189047837998608000	400	0.189047840251745000	2179062
68737	55739	0.611624513509123000	462	0.611624513564573000	57572162
54245	41008	0.544714621693773000	444	0.544714621765956000	45581181
49814	35961	0.507004008588021000	424	0.507004008665187000	38706206
77101	16633	0.116591467626216000	605	0.116591467642162000	19152684
16714	15278	0.769338904197361000	497	0.769338906081208000	15738010
66928	49447	0.525392385563382000	447	0.525392385608295000	57316417
57283	44331	0.565630220049451000	621	0.565630220118303000	59284327
97380	53813	0.348827031725615000	551	0.348827031739830000	56990252
36430	17872	0.299632345686504000	568	0.299632345779525000	19524106
26017	12634	0.295844055351718000	612	0.295844055532927000	13373766
26840	25679	0.858025163982261000	435	0.858025165376028000	28140351
56589	52682	0.801770612320170000	479	0.801770612521587000	56764496
33142	20836	0.414886868058638000	425	0.414886868198723000	21992586
92723	90789	0.917565552202820000	523	0.917565552439895000	99379557
93956	77888	0.635686842129926000	551	0.635686842162244000	98855334
60019	11983	0.107233639276175000	2811	0.107233639302193000	12642245
98442	81133	0.629166918078476000	372	0.629166918107227000	100454135
33522	17120	0.315194375565653000	422	0.315194375678506000	19103519
78779	5680	0.036955629358409700	502	0.036955629372357500	5424230
86002	53964	0.413765832824249000	472	0.413765832845004000	46035239
8887	981	0.057400185723672700	321	0.057400186844070100	876050
60445	31589	0.324564740822650000	547	0.324564740857942000	43643455
57969	30029	0.320932334660993000	443	0.320932334699117000	37937333
46075	14390	0.175568647284972000	717	0.175568647333138000	15801878
17834	10101	0.360312060032343000	521	0.360312060465414000	10888227
69027	44678	0.432125349408122000	530	0.432125349441656000	48497582
64956	42007	0.431603380453098000	594	0.431603380490923000	42159152
49261	27564	0.354579743735463000	453	0.354579743791615000	28846768
28627	6764	0.128747120277760000	526	0.128747120395170000	5928023
38086	27804	0.515773985075737000	475	0.515773985210849000	29968834
45941	11791	0.140988563242893000	477	0.140988563289192000	12362778
86589	55978	0.431394410537475000	563	0.431394410558751000	68923166
17603	15188	0.684181437334263000	491	0.684181438448394000	22377571
36730	6400	0.092689112408822200	326	0.092689112477106100	7292301
43831	16017	0.210234399287543000	423	0.210234399343406000	17659395
63630	3371	0.026977515577182500	402	0.026977515598338900	3212450
38061	15618	0.240975623915547000	461	0.240975623993083000	28010975
36710	33520	0.767517789289743000	735	0.767517789676346000	38279974
18558	2965	0.084542362252869700	491	0.084542362517818500	2848086
