n	k	approx	t_approx	exact	t_exact
1	1	1.0	12606	1.0	27369
2	1	0.4891743762340093	541	0.5	9711
2	2	1.0	445	1.0	13444
3	1	0.3270555267575742	403	0.3333333333333333	2203
3	2	0.5763510698063982	377	0.5833333333333334	8090
3	3	1.0	348	1.0	10726
4	1	0.24605671515728145	421	0.25	7206
4	2	0.41221333509788094	374	0.4166666666666667	6883
4	3	0.6337959037772968	382	0.6388888888888888	10383
4	4	1.0	392	1.0	24626
5	1	0.19731721815139502	382	0.2	6605
5	2	0.3220223143854142	350	0.325	12695
5	3	0.4743617597571532	369	0.4777777777777778	10123
5	4	0.6751792539674348	428	0.6791666666666667	19153
5	5	1.0	407	1.0	31289
6	1	0.16472957668416877	367	0.16666666666666666	1004
6	2	0.2645504397493653	358	0.26666666666666666	7026
6	3	0.3809607915937765	375	0.38333333333333336	10124
6	4	0.5222442774862819	390	0.525	13744
6	5	0.7067325862413145	423	0.71	20219
6	6	1.0	382	1.0	21065
7	1	0.1413949381559605	398	0.14285714285714285	1140
7	2	0.2246126792404014	335	0.2261904761904762	1592
7	3	0.31889916831201237	371	0.32063492063492066	4683
7	4	0.42839496096482743	390	0.4303571428571429	19076
7	5	0.560555084532756	376	0.5628571428571428	14576
7	6	0.73176034792765	377	0.7345238095238096	14277
7	7	1.0	388	1.0	23371
8	1	0.12385799932195807	345	0.125	6361
8	2	0.19520804021596194	355	0.19642857142857142	6695
8	3	0.2744698812369242	351	0.2757936507936508	7368
8	4	0.3640112332800033	395	0.36547619047619045	13674
8	5	0.4676180829994584	437	0.4692857142857143	25267
8	6	0.5920748561259614	402	0.594047619047619	17703
8	7	0.7521998492302705	352	0.7545918367346939	17738
8	8	1.0	394	1.0	48090
9	1	0.11019491911820478	362	0.1111111111111111	1011
9	2	0.17263927677519386	392	0.1736111111111111	6935
9	3	0.24102075659019262	382	0.24206349206349206	4501
9	4	0.31682036703991256	392	0.3179563492063492	7667
9	5	0.4022284785358231	369	0.4034920634920635	14554
9	6	0.5007355849444364	379	0.5021825396825397	16685
9	7	0.6185711237907601	347	0.6202947845804989	12273
9	8	0.7692716636877086	393	0.7713789682539682	27034
9	9	1.0	453	1.0	33831
10	1	0.09924887298715634	387	0.1	6961
10	2	0.15476362533117216	366	0.15555555555555556	7079
10	3	0.21489811455050323	380	0.21574074074074073	10248
10	4	0.2806403796071706	393	0.28154761904761905	13421
10	5	0.35337283507494754	349	0.3543650793650794	14359
10	6	0.4351347597418642	364	0.43624338624338627	14672
10	7	0.5291661619993815	377	0.5304421768707483	20507
10	8	0.6412288686776693	408	0.6427579365079366	27247
10	9	0.7837877612160763	368	0.7856701940035273	21956
10	10	1.0	447	1.0	62673
11	1	0.09028221794273217	329	0.09090909090909091	1064
11	2	0.14025143456780853	371	0.1409090909090909	7389
11	3	0.19391767500551027	364	0.19461279461279463	4769
11	4	0.25197297405285557	421	0.2527146464646465	13648
11	5	0.31534616983886454	371	0.3161471861471861	14435
11	6	0.3853342140576841	412	0.38621332371332373	11538
11	7	0.46384592080403986	385	0.46483199340342196	12080
11	8	0.5539059749223113	390	0.5550459956709957	31806
11	9	0.6608763770011001	345	0.6622494789161456	16224
11	10	0.7963118072738959	438	0.7980122655122656	34119
11	11	1.0	381	1.0	37033
12	1	0.082802301670439	381	0.08333333333333333	1059
12	2	0.12823306427611125	336	0.12878787878787878	1442
12	3	0.17668946289471887	372	0.17727272727272728	7883
12	4	0.22867503837603054	366	0.2292929292929293	7960
12	5	0.28484412672761306	392	0.2855050505050505	14265
12	6	0.34607353259333595	397	0.3467893217893218	11815
12	7	0.41358531995012116	392	0.4143733250876108	9368
12	8	0.4891743762340094	392	0.4900613275613276	21346
12	9	0.5756781080623709	401	0.5767075517075517	21032
12	10	0.6781124175131799	389	0.6793578643578644	28335
12	11	0.8072487694363554	382	0.8087990292535747	19802
12	12	1.0	440	1.0	40874
13	1	0.07646750636645927	381	0.07692307692307693	1030
13	2	0.11811542458651292	345	0.11858974358974358	1494
13	3	0.16228523906364611	348	0.16278166278166278	1871
13	4	0.20935475461475073	394	0.2098776223776224	13460
13	5	0.2598023648830192	397	0.2603574203574204	8854
13	6	0.3142488909475277	400	0.31484395234395235	11696
13	7	0.3735249926776065	379	0.3741710670282099	12149
13	8	0.43878650424627585	392	0.4394997363747364	15130
13	9	0.5117278717030623	377	0.5125331458664792	13102
13	10	0.5950219849152952	424	0.5959598734598734	39766
13	11	0.6933820084417766	378	0.6945211354302263	17520
13	12	0.8168979518886483	400	0.8183221870721871	25676
13	13	1.0	451	1.0	43639
14	1	0.07103346823211443	378	0.07142857142857142	1004
14	2	0.10947996929036075	350	0.10989010989010989	1372
14	3	0.15006074845647732	351	0.15048840048840048	1835
14	4	0.1930665193423724	381	0.19351481851481853	2590
14	5	0.23885766852393953	368	0.23933066933066932	14616
14	6	0.28789001875965625	360	0.2883930883930884	6266
14	7	0.34075437111573603	387	0.3412948162948163	12019
14	8	0.39824014560629706	407	0.3988282550782551	20717
14	9	0.46144413489549807	369	0.46209500376167045	10231
14	10	0.5319714989398981	403	0.5327084027084027	22737
14	11	0.612349359746047	410	0.613210274573911	22462
14	12	0.7070236804079377	425	0.7080729455729455	23461
14	13	0.8254858814370489	382	0.8268028979567441	20997
14	14	1.0	421	1.0	46805
15	1	0.06632075701858997	362	0.06666666666666667	997
15	2	0.10202279987468832	344	0.10238095238095238	1404
15	3	0.13955448153221806	372	0.13992673992673993	4688
15	4	0.17914428147100947	340	0.17953296703296703	2347
15	5	0.22107046647655337	355	0.22147852147852148	3197
15	6	0.2656776620219413	401	0.26610889110889113	11760
15	7	0.3134013023669371	379	0.313860742432171	6526
15	8	0.36480512203993076	396	0.3652996309246309	21127
15	9	0.4206414353175937	418	0.4211806711806712	16310
15	10	0.4819540341566121	354	0.48255217005217005	16678
15	11	0.5502681355822083	381	0.5509470327652146	14140
15	12	0.6279807361425418	379	0.6287760850260851	28361
15	13	0.7193001089152237	461	0.7202724625801549	18583
15	14	0.8331875060130688	368	0.8344122147693577	24191
15	15	1.0	398	1.0	50167
16	1	0.06219464527999108	662	0.0625	25320
16	2	0.09551787963995628	439	0.09583333333333334	10173
16	3	0.13042698633067795	486	0.13075396825396826	12901
16	4	0.16710479020516134	387	0.16744505494505493	14453
16	5	0.2057706398178728	367	0.20612637362637362	8624
16	6	0.24669146042823797	363	0.24706543456543456	8801
16	7	0.2901975370428058	376	0.29059333523619235	17718
16	8	0.3367057825897358	1832	0.33712814962814963	16781
16	9	0.3867553863833453	392	0.3872107830441164	19340
16	10	0.44106507759703395	390	0.44156260406260406	33842
16	11	0.5006307778781319	354	0.5011837909565182	16937
16	12	0.5669056719565797	369	0.5675347800347801	23454
16	13	0.6421698279051153	403	0.6429086938702323	31883
16	14	0.7304186215668029	361	0.7313244295387152	24023
16	15	0.8401403151467752	441	0.8412847337847338	34038
16	16	1.0	538	1.0	96947
17	1	0.05855199963306568	430	0.058823529411764705	1029
17	2	0.08979357246799347	391	0.0900735294117647	7190
17	3	0.12242291965294838	327	0.12271241830065359	4655
17	4	0.15658861467347496	359	0.1568890056022409	7929
17	5	0.1924666321090891	393	0.19277957336780865	14256
17	6	0.2302679498061826	372	0.23059550743374274	5856
17	7	0.2702491089057275	371	0.2705939018964229	6344
17	8	0.31272728238665526	409	0.313092697743433	26243
17	9	0.3581024733927134	355	0.3584929957478977	10881
17	10	0.4068914977289575	400	0.40731323415146947	27999
17	11	0.4597825250757035	386	0.4602440785595866	20071
17	12	0.5177280047120654	364	0.5182420044552397	17020
17	13	0.5821158510297864	376	0.5827017879054078	17469
17	14	0.65512044733555	413	0.6558101737198376	32475
17	15	0.7405453134592916	381	0.7413929969812323	27821
17	16	0.8464540141986685	421	0.8475279673349526	41611
17	17	1.0	447	1.0	58541
18	1	0.055312530368216595	356	0.05555555555555555	1064
18	2	0.08471719057804705	361	0.08496732026143791	1392
18	3	0.11534645920460873	377	0.1156045751633987	4749
18	4	0.14732271069787317	391	0.14758986928104575	7646
18	5	0.18078927873627182	379	0.18106676003734828	8480
18	6	0.21591582444795265	373	0.21620520002872945	8839
18	7	0.2529056194477396	325	0.25320884764162077	6500
18	8	0.2920056563489982	348	0.2923252197149256	9852
18	9	0.333521066522216	372	0.3338601757719405	18500
18	10	0.3778363451295933	370	0.3781992517286635	16892
18	11	0.425447819927809	380	0.4258403138750732	16550
18	12	0.4770157224086561	376	0.47744596090184327	22769
18	13	0.5334528308285177	387	0.5339327904373153	14805
18	14	0.5960876184834272	360	0.5966357871820057	18190
18	15	0.6669984472822177	359	0.667645051027404	32532
18	16	0.7498149999737345	410	0.7506114902254608	35501
18	17	0.8522173162366992	367	0.8532289365766874	25414
18	18	1.0	420	1.0	60417
19	1	0.05241279726240611	359	0.05263157894736842	1016
19	2	0.08018453055802133	364	0.0804093567251462	1645
19	3	0.10904488179644678	348	0.10927645912166035	1724
19	4	0.13909584383312434	362	0.13933501031991744	8412
19	5	0.17045571479911725	360	0.170703474372205	8696
19	6	0.2032629763951458	362	0.20352054564515865	9040
19	7	0.23768144926609303	382	0.2379503218291365	9344
19	8	0.27390728347431703	360	0.2741893206337866	9452
19	9	0.31217865732641825	373	0.31247621869396897	7337
19	10	0.3527895997331145	383	0.35310573714211485	33430
19	11	0.396110325764778	361	0.39644908051888067	11573
19	12	0.44261832373399546	380	0.4429851999995189	22658
19	13	0.49294817446087236	378	0.4933509274721468	20282
19	14	0.5479762952388301	381	0.5484263129248755	15162
19	15	0.6089767816550862	394	0.609491646983907	24737
19	16	0.6779403442985625	432	0.6785488142855597	52084
19	17	0.7583383842711122	362	0.7590894521007433	22690
19	18	0.8575028134743591	382	0.8584589079364621	28745
19	19	1.0	465	1.0	64057
20	1	0.04980200908143306	377	0.05	6990
20	2	0.07611261345924969	371	0.07631578947368421	7171
20	3	0.10339730378226619	358	0.10360623781676413	7541
20	4	0.13174197904868967	392	0.13195734434124526	7902
20	5	0.1612454133425154	357	0.16146800825593396	14604
20	6	0.19202211432505456	338	0.19225289531017084	11688
20	7	0.22420605584289655	377	0.22444618198156455	11865
20	8	0.2579556372458395	393	0.25820653160049445	21340
20	9	0.29346040460814005	359	0.29372384056336587	13570
20	10	0.3309503710191152	366	0.33122859682457206	17099
20	11	0.3707092920144721	405	0.3710052155837408	25177
20	12	0.41309418490127225	413	0.4134116571423073	18093
20	13	0.4585651492911782	377	0.4589094153841713	23426
20	14	0.507733124610241	415	0.5081115755098506	27472
20	15	0.5614410686980209	381	0.5618645587298838	24993
20	16	0.6209131276579779	386	0.6213984190474129	36571
20	17	0.6880596615913539	400	0.6886341781511149	36638
20	18	0.7662073161921992	369	0.7669178158729242	28834
20	19	0.8623705379980948	423	0.8632768601503326	32317
20	20	1.0	522	1.0	123612
21	1	0.04743902021490676	367	0.047619047619047616	1131
21	2	0.0724345391427973	353	0.07261904761904762	14107
21	3	0.09830678170397267	340	0.09849624060150376	4825
21	4	0.12512876963236752	369	0.12532372598162073	7946
21	5	0.15298382647333708	365	0.15318492309204385	8645
21	6	0.1819677219789595	360	0.18217572116565925	8907
21	7	0.21219142858582307	344	0.21240724359919405	9359
21	8	0.2437847192549959	362	0.2440094568529166	15380
21	9	0.2769009455661844	360	0.2771359645972649	13444
21	10	0.3117235102591458	386	0.3119705041260769	16945
21	11	0.3484748382089642	367	0.34873595382320405	11998
21	12	0.3874291476046585	415	0.38770716190414334	23713
21	13	0.4289312174539407	387	0.4292298080581005	15737
21	14	0.47342504270432384	374	0.4737492190472067	21077
21	15	0.5214996967071897	379	0.5218565180949082	28663
21	16	0.5739672365952525	397	0.5743670714283137	30497
21	17	0.6320057556806251	457	0.6324646184872009	27493
21	18	0.6974516722269585	425	0.6979957714284339	36483
21	19	0.7734987154463724	380	0.7741727679197127	27215
21	20	0.8668706086487273	477	0.8677320647618635	53221
21	21	1.0	419	1.0	69861
22	1	0.04529014438809431	488	0.045454545454545456	1389
22	2	0.06909576933987971	363	0.06926406926406926	1452
22	3	0.09369465694240287	332	0.09386724386724386	4955
22	4	0.11914940293257104	360	0.11932672590567328	8323
22	5	0.14553094384491905	401	0.14571352623984202	8855
22	6	0.17292019118976154	353	0.17310864803124865	6280
22	7	0.20141010296034245	363	0.2016051635965391	9420
22	8	0.23110834537827007	361	0.23131088360384025	15207
