n	k	approx	t_approx	exact	t_exact
9294969	8274611	0.7275646400675972	3452	0.7275646400676021	9314101612
3332733	1604323	0.2926250980715237	3364	0.292625098071534	1826714170
9204564	4860147	0.32886346152595414	3455	0.3288634615259556	5476435832
3237837	1994259	0.40328943971047737	3331	0.40328943971049114	2277114850
7223200	2886056	0.2334525419750324	2826	0.23345254197503554	3265292808
6930774	3774408	0.3422439191650368	3339	0.3422439191650399	4077271456
6850173	5606000	0.6214210762312316	3268	0.6214210762312373	6178244766
6951834	4869526	0.4844916054405861	2634	0.4844916054405899	5458248892
264749	35862	0.07101390753238901	3375	0.07101390753366385	44655893
5130247	2637611	0.3178611764069015	3548	0.31786117640690625	3035487255
3276401	3235287	0.9443626319276092	3231	0.9443626319279224	3773760314
6347820	5373652	0.6602187763568763	3124	0.6602187763568842	6260614673
9554575	3715948	0.22612850178973953	2855	0.22612850178974275	4143118254
8037127	5058914	0.4155632307410616	3210	0.41556323074106394	6034281183
5589749	602805	0.05597075680586672	3500	0.05597075680586576	664755871
6909180	3849704	0.3526070541129189	2999	0.3526070541129215	4434497443
3348087	683928	0.10990323456460471	2418	0.1099032345646109	809978479
5855459	1690276	0.16065764864467402	3093	0.16065764864467258	1936510312
9713077	1925235	0.10639127237915669	3558	0.10639127237916039	2167557619
1761848	119522	0.03471392983190014	3268	0.03471392983193251	144463986
9598232	1611132	0.089063513684837	3164	0.08906351368483438	1815338971
9086838	2067866	0.12355528799523863	3202	0.12355528799523222	2379022025
1679483	193706	0.060023177071350076	3270	0.06002317707138957	215358875
9195645	3805540	0.24341723651973146	3034	0.24341723651973043	4480736933
9545190	6088057	0.4232879048933308	3200	0.4232879048933334	6807386227
2549551	2208433	0.68930941054751	2874	0.6893094105475643	2529134367
6546421	6222926	0.8436575434793714	3384	0.843657543479392	7240381491
1426971	1372037	0.8695885961936686	725	0.8695885961942206	1648006962
373335	330137	0.7178022930231611	760	0.7178022930260435	381760716
7396433	2546750	0.1962399431779016	764	0.1962399431779049	2863735322
8458354	5116427	0.39345630827945666	797	0.3934563082794588	5734356357
5532501	2953881	0.3335949847018099	767	0.3335949847018138	3302288643
6385060	1412469	0.11980626380437298	763	0.11980626380438038	1600342458
5380654	61466	0.005733726675793416	833	0.005733726675830562	73175747
3203109	277001	0.044542846070016795	761	0.04454284607002946	329968095
