n	k	approx	t_approx	exact	t_exact
494968	37112	0.03846405693039612	3962	0.03846405693074484	420343047
632732	211122	0.1892874367367714	3201	0.1892874367370325	258007570
904563	83910	0.0478866944825983	3403	0.04788669448271707	98675659
437836	1932	0.002210699904672042	2245	0.002210699904929417	1861933
123199	87853	0.49764704595549003	3391	0.49764704596780346	95570088
730773	484881	0.44764218978165105	2478	0.4476421897819603	510329385
550172	534721	0.8967702861536859	3073	0.8967702861587248	573065186
151833	28687	0.10105685630242622	2724	0.1010568563064593	28020536
664748	495063	0.5319819337232752	2620	0.5319819337237394	602420304
230246	97494	0.25019237169588215	2680	0.25019237169803	107924120
776400	746677	0.8701203610881405	2455	0.8701203610900151	830290220
647819	224726	0.19793161401299975	2575	0.19793161401325213	242443662
154574	68361	0.2636823837280562	3158	0.263682383732927	75191971
737126	505385	0.4694023687304607	3645	0.46940236873078156	775966461
989748	801987	0.6108278045373476	2664	0.6108278045376145	867402112
509179	272427	0.3344961957155138	2855	0.3344961957160202	299405803
948086	637631	0.45643551407462346	2070	0.4564355140748116	695101664
755458	388669	0.31813824425952597	2938	0.31813824425974957	417635541
613076	416742	0.4635539168285433	3036	0.46355391682900027	454991345
661847	596729	0.7469582629407661	2849	0.7469582629418278	660333864
498231	98326	0.10589529496022654	2363	0.1058952949606059	118669845
486837	321674	0.4449651059268881	2637	0.4449651059275821	359209311
779482	473894	0.3961734152831624	2487	0.3961734152834057	587769187
395644	158560	0.2342924501024478	2985	0.2342924501031582	186900148
845189	202017	0.13036486275490433	2792	0.13036486275504153	234604191
849550	254443	0.16744631836310342	2430	0.1674463183632446	283941446
946420	627117	0.44677460483587594	2827	0.4467746048360606	711774590
526970	171946	0.1845144008728139	3274	0.18451440087318433	177691110
873334	212121	0.1326783510027979	3785	0.13267835100292616	299784069
796432	12740	0.00804179122303006	2265	0.008041791223253526	9514276
558353	275730	0.3021020499176055	3189	0.30210204991800405	326350069
732500	623991	0.6679252748320648	826	0.6679252748326668	694027465
385059	58694	0.08041321090674602	675	0.08041321090735842	63318335
980653	677272	0.47445765776516735	592	0.4744576577653503	751813279
103108	94443	0.7727911536779992	671	0.7727911537285495	100725874
910717	568167	0.41047250430492865	902	0.4104725043051128	652400346
354471	57771	0.08631778973806103	732	0.08631778973879548	67507684
157418	59699	0.21953337125683736	742	0.2195333712612271	92377023
565951	472691	0.6442534336434912	854	0.6442534336444108	557640249
751259	26442	0.01780930623127286	1312	0.017809306231444662	34190943
944510	366389	0.22544174053552601	646	0.22544174053564695	450710057
793631	112653	0.07459269079539688	651	0.07459269079554294	115929265
276281	28612	0.053668649804063384	617	0.05366864980520639	24805183
611782	569905	0.8029521735954342	671	0.802952173597172	740896250
728903	34632	0.0241423740861213	883	0.024142374086285175	36887529
894579	264854	0.16528575001749513	2775	0.16528575001762136	297246032
180360	63756	0.20228466978103177	765	0.20228466978429374	64978629
681289	498884	0.518194373542294	903	0.5181943735427188	641540115
629762	542262	0.6815218520787738	800	0.6815218520796348	590634673
610723	182195	0.16670638149931105	702	0.16670638149958086	204522759
469223	55589	0.06172469217362364	1255	0.06172469217402733	71047358
996640	705804	0.49249081343250367	675	0.4924908134326889	909583728
621075	493328	0.5904981641155445	829	0.5904981641161774	547136693
617211	507588	0.6267719448366312	979	0.6267719448373567	589071047
139921	104400	0.5335509515601071	649	0.5335509515706183	133296987
274680	224148	0.6183313381474362	873	0.6183313381509902	274602109
880412	748437	0.6653575966644346	835	0.6653575966648471	941211636
481467	80641	0.08885752164056948	548	0.0888575216409714	109129082
307171	136647	0.26556734187509834	561	0.2655673418763343	156698791
473203	411329	0.6939735795562282	642	0.6939735795578374	463548538
648806	540509	0.6413029760030513	731	0.6413029760037434	621083729
855667	60348	0.036123855144594486	791	0.03612385514470412	73018784
725661	519816	0.5010619023108324	743	0.5010619023111909	556673667
336320	262594	0.5738892821147026	641	0.5738892821167515	298747324
611992	425250	0.47875186832807815	657	0.47875186832855365	502044002
297158	211908	0.49766284818705775	791	0.4976628481891738	225068678
614401	169984	0.15321654466792156	781	0.15321654466818682	184911987
721318	117711	0.0864354901923925	680	0.08643549019257281	143526950
937054	794156	0.6616093580691695	2610	0.661609358069528	856874514
259082	68581	0.14587887285411127	770	0.14587887285557397	71682212
706194	55904	0.04066976062739647	952	0.04066976062757341	60240431
558458	94682	0.09001530300385474	1272	0.09001530300414981	91941712
125763	92928	0.5255048127334851	653	0.5255048127462092	117674456
753510	625952	0.6380482510377165	930	0.6380482510382234	690405841
390710	337832	0.6869615188251111	813	0.6869615188274009	399570455
278339	89294	0.18098876888796156	757	0.1809887688892925	85942505
830070	484809	0.37528821380811306	693	0.37528821380831806	543980779
166483	125671	0.5434276080619697	756	0.5434276080696057	133283891
494516	9635	0.009806752418062947	587	0.009806752418403557	5155205
387773	150508	0.2255930085012786	780	0.22559300850201006	191670148
960137	594056	0.40580886121175075	914	0.40580886121191495	627500381
387771	60707	0.08271632033743126	664	0.08271632033803578	69537655
593558	426824	0.5039930501368093	916	0.5039930501373489	501827505
714322	610053	0.6710931033731132	977	0.6710931033737546	736425425
106156	97004	0.7687670501510437	853	0.7687670501976233	120513307
203549	79784	0.2282207755299176	749	0.2282207755325784	104779057
482344	127083	0.1451225177721185	983	0.14512251777253815	171188763
244034	94411	0.2247333804308601	826	0.2247333804327019	105723411
510806	30566	0.030535663837462756	769	0.03053566383779079	28330945
905094	321902	0.2037149935165543	646	0.20371499351668357	380384664
901814	610957	0.4612933107986221	744	0.4612933107988323	688827775
263964	13703	0.026419268802055695	729	0.02641926880330085	26366002
108476	10053	0.0478437483292643	701	0.04784374833669946	10970556
142712	130713	0.7727148053379883	3321	0.7727148053643641	143226948
201105	53085	0.1454271058635005	854	0.14542710586592858	58006207
565858	307515	0.3413171709581869	1012	0.34131717095860153	359598135
811895	452699	0.3529363385349784	941	0.35293633853518336	579380446
849030	236881	0.15465862808431485	815	0.15465862808445072	267100096
578378	527539	0.7656707486882198	893	0.7656707486897613	621144872
609897	609722	0.9976598412873259	762	0.9976598416755998	744651183
454306	266958	0.3783548312463507	1047	0.37835483124704283	292039674
204342	185635	0.7590645023271987	869	0.7590645023390961	223497110
993781	245603	0.13523201420258246	705	0.13523201420267966	280869572
357045	199942	0.35493779373838996	873	0.35493779373945955	224858845
332570	261294	0.5798396937904553	918	0.5798396937925897	324702353
418685	214624	0.31667306736083867	942	0.316673067361564	256372884
576487	106032	0.09818684354702367	972	0.09818684354730328	109649267
531937	201041	0.21865157143613934	1064	0.21865157143652394	222840524
892476	661188	0.5276439872092055	916	0.5276439872094594	871184750
527558	209558	0.23184147656975518	726	0.23184147657015314	266315216
664632	337616	0.31304359412027527	957	0.31304359412056193	466874474
767189	632104	0.6288282779106528	847	0.6288282779111259	733203071
257833	183069	0.4944220323717091	1209	0.4944220323744979	224999159
774507	632030	0.6183413393846797	648	0.6183413393851268	725280440
570818	207318	0.20873179584981505	800	0.20873179585014276	231131131
