n	k	approx	t_approx	exact	t_exact
1	1	1.0	12527	1.0	90243
2	1	0.4891743762340093	525	0.5	35644
3	1	0.3270555267575741	378	0.3333333333333333	2110
4	1	0.24605671515728167	413	0.25	14711
5	1	0.19731721815139558	300	0.2	6037
6	1	0.16472957668416965	306	0.16666666666666666	1217
7	1	0.14139493815596005	282	0.14285714285714285	627
8	1	0.12385799932195729	311	0.125	5902
9	1	0.11019491911820367	291	0.1111111111111111	607
10	1	0.09924887298715923	325	0.1	6387
11	1	0.09028221794273339	293	0.09090909090909091	646
12	1	0.08280230167043534	302	0.08333333333333333	566
13	1	0.0764675063664626	286	0.07692307692307693	556
14	1	0.07103346823211476	320	0.07142857142857142	583
15	1	0.06632075701859019	318	0.06666666666666667	591
16	1	0.062194645279990635	313	0.0625	5916
17	1	0.05855199963306035	281	0.058823529411764705	567
18	1	0.05531253036822337	293	0.05555555555555555	597
19	1	0.05241279726240489	316	0.05263157894736842	585
20	1	0.04980200908142862	319	0.05	5990
21	1	0.04743902021491131	290	0.047619047619047616	600
22	1	0.045290144388097975	333	0.045454545454545456	606
23	1	0.043327537325736465	311	0.043478260869565216	602
24	1	0.04152798278693526	312	0.041666666666666664	581
25	1	0.03987196927122838	308	0.04	5928
26	1	0.038342979305094005	325	0.038461538461538464	5727
27	1	0.03692693631092059	321	0.037037037037037035	594
28	1	0.035611769743864485	316	0.03571428571428571	582
29	1	0.034387070007255716	313	0.034482758620689655	571
30	1	0.033243812239842185	312	0.03333333333333333	586
31	1	0.032174133453363396	306	0.03225806451612903	586
32	1	0.03117115137275528	294	0.03125	5580
33	1	0.03022881614947437	283	0.030303030303030304	579
34	1	0.029341788192314144	312	0.029411764705882353	562
35	1	0.02850533690210355	301	0.02857142857142857	597
36	1	0.02771525625234217	304	0.027777777777777776	619
37	1	0.026967794034909787	317	0.02702702702702703	572
38	1	0.026259592257178443	306	0.02631578947368421	585
39	1	0.02558763669317976	312	0.02564102564102564	595
40	1	0.024949213988729735	298	0.025	5747
41	1	0.024341875033634608	277	0.024390243902439025	552
42	1	0.023763403557527152	301	0.023809523809523808	583
43	1	0.023211789100784586	327	0.023255813953488372	596
44	1	0.022685203665075537	304	0.022727272727272728	569
45	1	0.022181981472755297	310	0.022222222222222223	595
46	1	0.02170060136174623	311	0.021739130434782608	568
47	1	0.021239671424893025	314	0.02127659574468085	581
48	1	0.02079791556642352	328	0.020833333333333332	578
49	1	0.02037416170204409	296	0.02040816326530612	555
50	1	0.019967331373197172	307	0.02	6239
51	1	0.019576430581190962	279	0.0196078431372549	602
52	1	0.019200541677729444	294	0.019230769230769232	566
53	1	0.01883881617209937	302	0.018867924528301886	609
54	1	0.018490468336403332	313	0.018518518518518517	593
55	1	0.01815476950773931	300	0.01818181818181818	588
56	1	0.017831042999620017	300	0.017857142857142856	603
57	1	0.01751865954907572	321	0.017543859649122806	567
58	1	0.017217033233150936	317	0.017241379310344827	565
59	1	0.016925617801147652	308	0.01694915254237288	563
60	1	0.01664390337250854	316	0.016666666666666666	553
61	1	0.016371413459403072	299	0.01639344262295082	574
62	1	0.01610770227710301	331	0.016129032258064516	581
63	1	0.015852352310039564	305	0.015873015873015872	576
64	1	0.015604972105912829	319	0.015625	5458
65	1	0.015365194273272209	295	0.015384615384615385	585
66	1	0.01513267366089277	319	0.015151515151515152	598
67	1	0.01490708569938981	329	0.014925373134328358	577
68	1	0.014688124890405163	308	0.014705882352941176	582
69	1	0.014475503425483538	327	0.014492753623188406	598
70	1	0.01426894992409089	324	0.014285714285714285	579
71	1	0.014068208278303018	306	0.014084507042253521	590
72	1	0.013873036592626065	319	0.013888888888888888	572
73	1	0.013683206212348864	337	0.0136986301369863	583
74	1	0.01349850082920856	329	0.013513513513513514	601
75	1	0.013318715659583091	301	0.013333333333333334	601
76	1	0.013143656686675165	311	0.013157894736842105	565
77	1	0.01297313996232674	333	0.012987012987012988	561
78	1	0.012806990962240583	326	0.01282051282051282	595
79	1	0.012645043990010763	316	0.012658227848101266	593
80	1	0.012487141625703302	308	0.0125	5670
81	1	0.012333134216063968	301	0.012345679012345678	5592
82	1	0.01218287940074525	303	0.012195121951219513	621
83	1	0.012036241673637704	320	0.012048192771084338	561
84	1	0.011893091975602843	303	0.011904761904761904	583
85	1	0.01175330731470936	334	0.011764705882352941	565
86	1	0.01161677041488307	326	0.011627906976744186	576
87	1	0.011483369386775522	322	0.011494252873563218	577
88	1	0.011352997422650724	305	0.011363636363636364	578
89	1	0.011225552510502723	318	0.011235955056179775	573
90	1	0.01110093716866789	310	0.011111111111111112	584
91	1	0.010979058196424418	319	0.01098901098901099	577
92	1	0.01085982644174166	331	0.010869565217391304	572
93	1	0.010743156583938429	307	0.010752688172043012	580
94	1	0.010628966929815853	326	0.010638297872340425	569
95	1	0.01051717922319284	331	0.010526315789473684	574
96	1	0.010407718465707205	317	0.010416666666666666	570
97	1	0.010300512749324753	304	0.010309278350515464	581
98	1	0.010195493098556163	330	0.01020408163265306	573
99	1	0.01009259332263035	314	0.010101010101010102	552
100	1	0.009991749876236966	317	0.01	6075
101	1	0.009892901728857595	279	0.009900990099009901	616
102	1	0.009795990241248553	313	0.00980392156862745	567
103	1	0.0097009590500452	301	0.009708737864077669	594
104	1	0.009607753957459941	308	0.009615384615384616	589
105	1	0.00951632282940551	318	0.009523809523809525	572
106	1	0.009426615497324597	320	0.009433962264150943	568
107	1	0.009338583666879785	320	0.009345794392523364	573
108	1	0.009252180830690904	317	0.009259259259259259	578
109	1	0.009167362187547212	322	0.009174311926605505	600
110	1	0.009084084563489192	311	0.00909090909090909	572
111	1	0.009002306339795041	332	0.009009009009009009	585
112	1	0.008921987382557894	347	0.008928571428571428	4660
113	1	0.008843088977926072	319	0.008849557522123894	602
114	1	0.008765573769416335	317	0.008771929824561403	595
115	1	0.008689405698925512	320	0.008695652173913044	612
116	1	0.008614549950602068	316	0.008620689655172414	566
117	1	0.008540972898885002	301	0.008547008547008548	581
118	1	0.008468642056209674	315	0.00847457627118644	586
119	1	0.008397526027216884	322	0.008403361344537815	606
120	1	0.008327594461892573	346	0.008333333333333333	579
121	1	0.008258818012784275	310	0.008264462809917356	603
122	1	0.008191168294320761	320	0.00819672131147541	582
123	1	0.00812461784349594	305	0.008130081300813009	588
124	1	0.008059140082218086	323	0.008064516129032258	604
